"SOC_NAME","Freq","SOC_GROUP"
"COMPUTER SYSTEMS ANALYSTS",411566,""
"SOFTWARE DEVELOPERS, APPLICATIONS",340550,""
"COMPUTER PROGRAMMERS",312800,""
"COMPUTER OCCUPATIONS, ALL OTHER",147736,""
"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",69229,""
"MANAGEMENT ANALYSTS",53417,""
"FINANCIAL ANALYSTS",44201,""
"ACCOUNTANTS AND AUDITORS",38520,""
"NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS",31291,""
"DATABASE ADMINISTRATORS",30265,""
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",29857,""
"OPERATIONS RESEARCH ANALYSTS",28203,""
"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",26274,""
"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS",25960,""
"MECHANICAL ENGINEERS",25907,""
"ELECTRICAL ENGINEERS",22987,""
"COMPUTER OCCUPATIONS, ALL OTHER*",21887,""
"COMPUTER AND INFORMATION SYSTEMS MANAGERS",21804,""
"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",21217,""
